response,predictor,r2_part,R2_model,p,F_val,estimate,effect_size,effect_size_st,lambda,formula,Dimens,AG_BG,Ecos_Function,Tr_Group,Trophic_level,flux_out_stock,flux_in_stock,Explanations to response
o_Plants,sowndiv,0.195,0.3367869904200542,2.238413506598744e-6,26.51839116197791,0.14715064123009852,0.8234899205122914,0.4304492213732965,0,log(o_Plants) ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,numfg,0.002,0.2638217671885507,0.005731769864645241,8.097172837351684,-0.021195874110456966,-1.17391611063785,-0.055077361874036015,0,log(o_Plants) ~ block + numfg + log2(sowndiv),flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,leg.ef,0.044,0.33678699042005433,0.7360726575988186,0.11450354130376557,-0.17580989226890606,-9.857545429353486,-0.20013944556282887,0,log(o_Plants) ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,gr.ef,0.027,0.33678699042005417,3.24212013215665e-4,14.284235324571698,0.1432415490289997,7.932506786382355,0.1610550538699436,0,log(o_Plants) ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,sh.ef,0.002,0.3367869904200543,0.014155277715935092,6.3271163633568746,0.03885309983752768,2.159405508085406,0.043911620413528876,0,log(o_Plants) ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,th.ef,0.01,0.3367869904200542,0.3252866488862256,0.9811180686981115,-0.08569823658461699,-4.789263645106587,-0.09702310054837453,0,log(o_Plants) ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,FDis_pa,0.07,0.38278968750086595,6.414688448247513e-7,29.983572194811597,2.0493218547884355,144.53133454873208,0.3311885780595064,-0.09999999999999987,(o_Plants ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,FDis,0.023,0.2787537358689309,3.523554266012412e-6,25.150184540829265,1.9146948977600224,100.90814202166824,0.2523209503744949,0,log(o_Plants) ~ block + FDis + log2(sowndiv),flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
o_Plants,FDbranch,0.121,0.13354421892306523,0.0019431522737516419,10.316529267372827,0.0574336284880406,4.202721671745334,0.4762928762952856,0,log(o_Plants) ~ block + FDbranch,flow,AG,Carbon_uptake,NA,NA,NA,Plants,Carbon uptake from environment (o) to Plants
Plants_AG.Herbivores,sowndiv,0.099,0.3392462966584985,0.003631646805054142,9.050655484006523,0.09964620776306782,7.06408301639084e-4,0.2352232314887733,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,numfg,0.002,0.14445355932600576,0.16337554181158048,1.981918279493384,-0.021762961052511444,-0.0015145415378756803,-0.045266616591727246,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv),flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,leg.ef,0.01,0.3392462966584985,0.005190547502585807,8.318854207711126,0.08421696482692001,0.005948164000652026,0.0769321054422905,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,gr.ef,0.178,0.3392462966584983,0.016576600664113907,6.022813431371257,-0.4037722211526336,-0.02967601560425837,-0.383822362887708,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,sh.ef,0.048,0.3392462966584984,0.013178335803568421,6.46579399477861,0.1892395764153717,0.013362070795616663,0.17309311996311666,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,th.ef,0,0.33924629665849854,0.5264384936814668,0.40524792458381953,0.017098236879980595,0.0012113347681161415,0.015632605396111728,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,FDis_pa,0.009,0.3451055695160577,0.05849961171600138,3.699406765637134,-1.0769333566163497,-0.08322538890958732,-0.12148703975480607,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDis_pa + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,FDis,0.012,0.15255342365416635,0.06469707397651632,3.516738521976366,-1.4863154420741242,-0.11037376558211376,-0.17581411557525278,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv),flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
Plants_AG.Herbivores,FDbranch,0.032,0.08878199692232322,0.11801155991856431,2.5005958989777906,0.029187274784369777,0.002436196031013921,0.17588000393485634,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDbranch,flow,AG,Herbivory,NA,NA,Plants,AG.Herbivores,Herbivory by AG Herbivores
AG.Herbivores_AG.Carnivores,sowndiv,0.07,0.15758390959793372,0.09970125422515186,2.7825484243554435,0.015073814363696932,4.259576983675072e-5,0.2576480421911913,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
